                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.75944,                 1.5119,                0.63641,                0.96017,                0.90845,                 0.8655,                0.92198,                0.77662,                0.86585,                0.80479,                0.84913,                0.60635,                 0.6904,                 1.1895,                0.50621,                0.90922,               0.001486,               0.001486,               0.001486
                     88,                0.74626,                 1.5491,                0.62481,                0.96525,                0.91913,                0.85666,                0.92198,                0.77407,                0.85451,                 0.8058,                0.84884,                0.61012,                0.68266,                 1.1866,                0.50167,                0.90685,               0.001387,               0.001387,               0.001387
                     89,                0.75906,                 1.6788,                0.61078,                0.95432,                 0.9189,                 0.8565,                0.92286,                0.77473,                0.86047,                0.79304,                0.84185,                0.60974,                0.68341,                 1.1914,                0.49916,                0.90736,               0.001288,               0.001288,               0.001288
                     90,                0.78354,                 1.4241,                 0.6473,                0.95973,                0.91408,                0.85582,                0.92089,                0.77286,                0.86922,                0.79725,                0.84321,                0.60707,                0.69065,                 1.1946,                0.50668,                0.90725,               0.001189,               0.001189,               0.001189
                     91,                0.80667,                  1.531,                0.67042,                0.96909,                0.91488,                0.84911,                0.92191,                0.77134,                0.86841,                0.79286,                0.84649,                0.60579,                 0.6989,                 1.2007,                0.51551,                0.90864,                0.00109,                0.00109,                0.00109
                     92,                0.75032,                  1.352,                0.60698,                0.95659,                 0.9201,                0.84847,                0.92301,                0.77336,                0.86935,                0.79154,                0.84833,                0.60414,                0.70002,                  1.204,                0.51825,                0.90998,               0.000991,               0.000991,               0.000991
                     93,                0.75321,                 1.3681,                0.60974,                0.94328,                0.90437,                0.85964,                0.92328,                0.77199,                0.86776,                0.78813,                0.84815,                 0.6052,                0.70289,                 1.2108,                0.52328,                0.91148,               0.000892,               0.000892,               0.000892
                     94,                0.76043,                 1.3717,                0.60471,                0.95351,                0.88613,                0.87275,                0.91936,                0.76847,                 0.8325,                0.81522,                0.84936,                0.60645,                0.70206,                 1.2218,                0.52679,                 0.9122,               0.000793,               0.000793,               0.000793
                     95,                0.71494,                 1.3105,                0.55672,                 0.9401,                0.90588,                0.86029,                0.91992,                0.76978,                0.86638,                0.81188,                0.85888,                0.60701,                0.69534,                 1.2172,                0.52693,                0.91076,               0.000694,               0.000694,               0.000694
                     96,                0.72752,                 1.3991,                0.58756,                0.95559,                0.90167,                0.86575,                0.92263,                0.77151,                0.88018,                0.81731,                0.86855,                0.60919,                0.68625,                 1.2129,                0.52386,                0.90862,               0.000595,               0.000595,               0.000595
                     97,                 0.7275,                 1.3132,                0.57299,                0.95133,                0.90564,                0.86576,                0.92384,                0.77081,                0.87065,                0.82599,                0.86768,                0.61169,                0.67972,                 1.2072,                0.52272,                0.90732,               0.000496,               0.000496,               0.000496
                     98,                0.70634,                 1.3189,                0.55908,                0.95701,                0.89929,                0.86975,                0.92372,                0.77649,                0.87023,                0.82812,                0.86844,                0.61649,                0.67491,                 1.1949,                 0.5201,                0.90603,               0.000397,               0.000397,               0.000397
                     99,                0.72975,                 1.2977,                0.55983,                0.94434,                0.90131,                 0.8672,                0.92318,                0.77606,                0.87254,                  0.828,                0.86939,                0.61804,                0.67609,                 1.1933,                0.51819,                0.90619,               0.000298,               0.000298,               0.000298
